




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2017-11-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (591)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	73	30	2.05	+	14.63	7.80E-23	1.41E-20
nucleobase-containing compound transport (GO:0015931)	237	46	6.66	+	6.91	1.24E-22	2.20E-20
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	194	42	5.45	+	7.71	2.53E-22	4.46E-20
macromolecular complex subunit organization (GO:0043933)	1759	128	49.40	+	2.59	2.57E-22	4.47E-20
positive regulation of ubiquitin protein ligase activity (GO:1904668)	85	31	2.39	+	12.99	2.62E-22	4.51E-20
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	77	30	2.16	+	13.87	2.69E-22	4.57E-20
regulation of ubiquitin protein ligase activity (GO:1904666)	94	32	2.64	+	12.12	3.06E-22	5.16E-20
cell division (GO:0051301)	488	63	13.71	+	4.60	4.20E-22	7.00E-20
symbiosis, encompassing mutualism through parasitism (GO:0044403)	727	77	20.42	+	3.77	4.91E-22	8.00E-20
negative regulation of ubiquitin protein ligase activity (GO:1904667)	79	30	2.22	+	13.52	4.88E-22	8.04E-20
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	72	29	2.02	+	14.34	6.41E-22	1.02E-19
sister chromatid segregation (GO:0000819)	188	41	5.28	+	7.76	6.40E-22	1.03E-19
mRNA transport (GO:0051028)	156	38	4.38	+	8.67	7.73E-22	1.22E-19
anaphase-promoting complex-dependent catabolic process (GO:0031145)	81	30	2.28	+	13.19	8.73E-22	1.37E-19
protein transport (GO:0015031)	1358	108	38.14	+	2.83	1.31E-21	2.03E-19
regulation of cell cycle G2/M phase transition (GO:1902749)	204	42	5.73	+	7.33	1.33E-21	2.04E-19
macromolecular complex assembly (GO:0065003)	1495	114	41.99	+	2.71	1.79E-21	2.72E-19
regulation of gene expression (GO:0010468)	4560	232	128.08	+	1.81	2.13E-21	3.21E-19
establishment of protein localization (GO:0045184)	1434	111	40.28	+	2.76	2.30E-21	3.43E-19
establishment of localization in cell (GO:0051649)	1615	119	45.36	+	2.62	2.86E-21	4.21E-19
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	86	30	2.42	+	12.42	3.54E-21	5.17E-19
amide biosynthetic process (GO:0043604)	480	61	13.48	+	4.52	4.09E-21	5.93E-19
peptide transport (GO:0015833)	1383	108	38.84	+	2.78	4.80E-21	6.89E-19
macromolecule catabolic process (GO:0009057)	992	89	27.86	+	3.19	6.37E-21	9.05E-19
viral process (GO:0016032)	654	71	18.37	+	3.87	6.65E-21	9.36E-19
interspecies interaction between organisms (GO:0044419)	763	77	21.43	+	3.59	6.98E-21	9.74E-19
amide transport (GO:0042886)	1405	108	39.46	+	2.74	1.46E-20	2.02E-18
positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)	92	30	2.58	+	11.61	1.72E-20	2.36E-18
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	104	31	2.92	+	10.61	3.50E-20	4.76E-18
DNA repair (GO:0006281)	489	60	13.73	+	4.37	4.20E-20	5.66E-18
DNA-dependent DNA replication (GO:0006261)	115	32	3.23	+	9.91	4.85E-20	6.48E-18
macromolecule localization (GO:0033036)	2236	142	62.80	+	2.26	7.85E-20	1.04E-17
regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000058)	108	31	3.03	+	10.22	8.79E-20	1.15E-17
peptide metabolic process (GO:0006518)	537	62	15.08	+	4.11	1.52E-19	1.97E-17
regulation of RNA stability (GO:0043487)	163	36	4.58	+	7.86	1.51E-19	1.97E-17
RNA catabolic process (GO:0006401)	240	42	6.74	+	6.23	2.73E-19	3.50E-17
protein localization (GO:0008104)	1925	128	54.07	+	2.37	3.21E-19	4.07E-17
regulation of ubiquitin-protein transferase activity (GO:0051438)	125	32	3.51	+	9.11	3.97E-19	5.00E-17
organelle organization (GO:0006996)	3166	176	88.92	+	1.98	4.10E-19	5.12E-17
negative regulation of protein ubiquitination (GO:0031397)	140	33	3.93	+	8.39	9.38E-19	1.16E-16
regulation of macromolecule metabolic process (GO:0060255)	6078	274	170.71	+	1.61	1.27E-18	1.57E-16
regulation of mRNA stability (GO:0043488)	154	34	4.33	+	7.86	1.59E-18	1.94E-16
translational initiation (GO:0006413)	143	33	4.02	+	8.22	1.63E-18	1.97E-16
cellular component organization (GO:0016043)	5299	248	148.83	+	1.67	2.04E-18	2.45E-16
nuclear chromosome segregation (GO:0098813)	259	42	7.27	+	5.77	3.23E-18	3.85E-16
viral gene expression (GO:0019080)	128	31	3.60	+	8.62	5.56E-18	6.57E-16
regulation of metabolic process (GO:0019222)	6604	288	185.48	+	1.55	5.66E-18	6.65E-16
cellular response to stress (GO:0033554)	1600	111	44.94	+	2.47	5.87E-18	6.84E-16
nuclear-transcribed mRNA catabolic process (GO:0000956)	199	37	5.59	+	6.62	6.86E-18	7.93E-16
mRNA catabolic process (GO:0006402)	212	38	5.95	+	6.38	7.16E-18	8.22E-16
regulation of mRNA catabolic process (GO:0061013)	175	35	4.92	+	7.12	7.44E-18	8.47E-16
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	152	33	4.27	+	7.73	7.92E-18	8.95E-16
sister chromatid cohesion (GO:0007062)	120	30	3.37	+	8.90	9.08E-18	1.01E-15
cellular response to DNA damage stimulus (GO:0006974)	736	70	20.67	+	3.39	9.01E-18	1.01E-15
cellular component assembly (GO:0022607)	2337	141	65.64	+	2.15	9.26E-18	1.02E-15
cellular protein metabolic process (GO:0044267)	3744	193	105.16	+	1.84	1.10E-17	1.21E-15
ribosomal small subunit biogenesis (GO:0042274)	74	25	2.08	+	12.03	1.36E-17	1.49E-15
nitrogen compound transport (GO:0071705)	1669	113	46.88	+	2.41	1.49E-17	1.62E-15
viral transcription (GO:0019083)	114	29	3.20	+	9.06	2.16E-17	2.32E-15
regulation of catabolic process (GO:0009894)	915	78	25.70	+	3.04	3.32E-17	3.55E-15
negative regulation of cell cycle process (GO:0010948)	279	42	7.84	+	5.36	3.53E-17	3.75E-15
protein localization to organelle (GO:0033365)	607	62	17.05	+	3.64	3.58E-17	3.77E-15
maturation of SSU-rRNA (GO:0030490)	53	22	1.49	+	14.78	3.64E-17	3.81E-15
regulation of cellular amino acid metabolic process (GO:0006521)	62	23	1.74	+	13.21	5.11E-17	5.31E-15
negative regulation of cell cycle (GO:0045786)	542	58	15.22	+	3.81	5.90E-17	6.05E-15
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	89	26	2.50	+	10.40	5.88E-17	6.07E-15
cell cycle phase transition (GO:0044770)	271	41	7.61	+	5.39	7.26E-17	7.36E-15
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	203	36	5.70	+	6.31	7.26E-17	7.40E-15
negative regulation of cell cycle G2/M phase transition (GO:1902750)	91	26	2.56	+	10.17	9.26E-17	9.31E-15
establishment of protein localization to organelle (GO:0072594)	375	47	10.53	+	4.46	2.80E-16	2.79E-14
negative regulation of mitotic cell cycle (GO:0045930)	286	41	8.03	+	5.10	3.88E-16	3.86E-14
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	119	28	3.34	+	8.38	4.32E-16	4.27E-14
maturation of 5.8S rRNA (GO:0000460)	32	18	.90	+	20.03	4.46E-16	4.37E-14
ribosomal large subunit biogenesis (GO:0042273)	70	23	1.97	+	11.70	4.49E-16	4.38E-14
cell cycle DNA replication (GO:0044786)	39	19	1.10	+	17.35	5.19E-16	5.02E-14
mitotic cell cycle phase transition (GO:0044772)	263	39	7.39	+	5.28	7.65E-16	7.37E-14
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	73	23	2.05	+	11.22	9.56E-16	9.14E-14
cellular amide metabolic process (GO:0043603)	695	64	19.52	+	3.28	1.07E-15	1.02E-13
positive regulation of protein ubiquitination (GO:0031398)	185	33	5.20	+	6.35	1.25E-15	1.18E-13
G-protein coupled receptor signaling pathway (GO:0007186)	1206	0	33.87	-	 < 0.01	1.87E-15	1.76E-13
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	76	23	2.13	+	10.77	1.98E-15	1.84E-13
NIK/NF-kappaB signaling (GO:0038061)	86	24	2.42	+	9.94	2.22E-15	2.06E-13
regulation of hematopoietic stem cell differentiation (GO:1902036)	77	23	2.16	+	10.63	2.50E-15	2.31E-13
negative regulation of mitotic cell cycle phase transition (GO:1901991)	204	34	5.73	+	5.93	2.73E-15	2.50E-13
snRNA metabolic process (GO:0016073)	87	24	2.44	+	9.82	2.76E-15	2.52E-13
regulation of protein modification by small protein conjugation or removal (GO:1903320)	293	40	8.23	+	4.86	3.92E-15	3.55E-13
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	79	23	2.22	+	10.37	3.97E-15	3.56E-13
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	79	23	2.22	+	10.37	3.97E-15	3.58E-13
nuclear DNA replication (GO:0033260)	38	18	1.07	+	16.87	4.50E-15	4.01E-13
nucleobase-containing compound catabolic process (GO:0034655)	358	44	10.06	+	4.38	4.89E-15	4.33E-13
DNA-templated transcription, elongation (GO:0006354)	111	26	3.12	+	8.34	5.38E-15	4.74E-13
regulation of cellular amine metabolic process (GO:0033238)	81	23	2.28	+	10.11	6.24E-15	5.46E-13
negative regulation of cell cycle phase transition (GO:1901988)	212	34	5.95	+	5.71	7.46E-15	6.49E-13
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	186	32	5.22	+	6.13	8.32E-15	7.20E-13
regulation of cellular macromolecule biosynthetic process (GO:2000112)	4100	196	115.16	+	1.70	1.17E-14	1.01E-12
protein modification by small protein conjugation or removal (GO:0070647)	1007	77	28.28	+	2.72	1.30E-14	1.11E-12
regulation of macromolecule biosynthetic process (GO:0010556)	4206	199	118.13	+	1.68	2.03E-14	1.73E-12
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	87	23	2.44	+	9.41	2.27E-14	1.92E-12
regulation of protein ubiquitination (GO:0031396)	266	37	7.47	+	4.95	2.57E-14	2.17E-12
transcription from RNA polymerase II promoter (GO:0006366)	810	67	22.75	+	2.95	2.70E-14	2.26E-12
protein modification by small protein conjugation (GO:0032446)	796	66	22.36	+	2.95	3.86E-14	3.22E-12
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	101	24	2.84	+	8.46	4.61E-14	3.82E-12
nucleobase-containing compound biosynthetic process (GO:0034654)	2946	153	82.74	+	1.85	7.10E-14	5.85E-12
positive regulation of cellular protein catabolic process (GO:1903364)	203	32	5.70	+	5.61	7.15E-14	5.86E-12
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	94	23	2.64	+	8.71	9.21E-14	7.51E-12
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4270	198	119.93	+	1.65	1.50E-13	1.22E-11
heterocycle biosynthetic process (GO:0018130)	3015	154	84.68	+	1.82	2.03E-13	1.63E-11
heterocycle catabolic process (GO:0046700)	403	44	11.32	+	3.89	2.14E-13	1.72E-11
cellular nitrogen compound catabolic process (GO:0044270)	405	44	11.38	+	3.87	2.51E-13	2.00E-11
positive regulation of protein catabolic process (GO:0045732)	274	36	7.70	+	4.68	2.69E-13	2.14E-11
organic substance transport (GO:0071702)	2036	117	57.18	+	2.05	2.80E-13	2.21E-11
positive regulation of macromolecule metabolic process (GO:0010604)	3032	154	85.16	+	1.81	3.48E-13	2.74E-11
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	175	29	4.92	+	5.90	3.55E-13	2.77E-11
regulation of establishment of planar polarity (GO:0090175)	114	24	3.20	+	7.50	4.51E-13	3.51E-11
aromatic compound biosynthetic process (GO:0019438)	3019	153	84.79	+	1.80	4.99E-13	3.86E-11
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	115	24	3.23	+	7.43	5.31E-13	4.07E-11
regulation of stem cell differentiation (GO:2000736)	115	24	3.23	+	7.43	5.31E-13	4.09E-11
regulation of telomerase RNA localization to Cajal body (GO:1904872)	18	13	.51	+	25.71	5.45E-13	4.16E-11
regulation of biosynthetic process (GO:0009889)	4474	203	125.66	+	1.62	5.52E-13	4.19E-11
modification-dependent macromolecule catabolic process (GO:0043632)	508	49	14.27	+	3.43	6.24E-13	4.72E-11
transcription-coupled nucleotide-excision repair (GO:0006283)	73	20	2.05	+	9.75	6.48E-13	4.87E-11
aromatic compound catabolic process (GO:0019439)	418	44	11.74	+	3.75	6.74E-13	5.04E-11
protein modification by small protein removal (GO:0070646)	302	37	8.48	+	4.36	8.43E-13	6.28E-11
antigen processing and presentation of exogenous antigen (GO:0019884)	182	29	5.11	+	5.67	8.49E-13	6.29E-11
antigen processing and presentation of peptide antigen (GO:0048002)	185	29	5.20	+	5.58	1.22E-12	9.00E-11
regulation of DNA-templated transcription in response to stress (GO:0043620)	121	24	3.40	+	7.06	1.38E-12	1.01E-10
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	20	13	.56	+	23.14	1.44E-12	1.05E-10
regulation of chromosome organization (GO:0033044)	308	37	8.65	+	4.28	1.44E-12	1.05E-10
tRNA aminoacylation for protein translation (GO:0006418)	49	17	1.38	+	12.35	1.52E-12	1.10E-10
regulation of cellular biosynthetic process (GO:0031326)	4403	199	123.67	+	1.61	1.81E-12	1.31E-10
regulation of translation (GO:0006417)	396	42	11.12	+	3.78	1.83E-12	1.31E-10
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	15	12	.42	+	28.48	1.85E-12	1.32E-10
positive regulation of canonical Wnt signaling pathway (GO:0090263)	124	24	3.48	+	6.89	2.18E-12	1.55E-10
protein metabolic process (GO:0019538)	4404	198	123.69	+	1.60	2.78E-12	1.97E-10
organic cyclic compound biosynthetic process (GO:1901362)	3153	155	88.56	+	1.75	3.21E-12	2.26E-10
tRNA aminoacylation (GO:0043039)	52	17	1.46	+	11.64	3.35E-12	2.35E-10
regulation of cellular metabolic process (GO:0031323)	6163	254	173.10	+	1.47	3.80E-12	2.65E-10
ncRNA transcription (GO:0098781)	93	21	2.61	+	8.04	4.16E-12	2.89E-10
amino acid activation (GO:0043038)	53	17	1.49	+	11.42	4.31E-12	2.98E-10
tumor necrosis factor-mediated signaling pathway (GO:0033209)	129	24	3.62	+	6.62	4.56E-12	3.14E-10
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	37	15	1.04	+	14.43	5.21E-12	3.57E-10
regulation of nitrogen compound metabolic process (GO:0051171)	5891	245	165.46	+	1.48	5.27E-12	3.60E-10
mRNA cleavage (GO:0006379)	23	13	.65	+	20.12	5.38E-12	3.66E-10
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	259	33	7.27	+	4.54	5.73E-12	3.88E-10
positive regulation of Wnt signaling pathway (GO:0030177)	157	26	4.41	+	5.90	6.04E-12	4.07E-10
organic cyclic compound catabolic process (GO:1901361)	450	44	12.64	+	3.48	6.56E-12	4.40E-10
cleavage involved in rRNA processing (GO:0000469)	24	13	.67	+	19.29	8.09E-12	5.40E-10
mRNA polyadenylation (GO:0006378)	31	14	.87	+	16.08	8.48E-12	5.64E-10
regulation of cellular catabolic process (GO:0031329)	776	60	21.80	+	2.75	9.24E-12	6.12E-10
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	123	23	3.45	+	6.66	1.16E-11	7.68E-10
negative regulation of macromolecule metabolic process (GO:0010605)	2535	131	71.20	+	1.84	1.46E-11	9.59E-10
protein deubiquitination (GO:0016579)	286	34	8.03	+	4.23	1.53E-11	1.00E-09
non-canonical Wnt signaling pathway (GO:0035567)	138	24	3.88	+	6.19	1.60E-11	1.04E-09
RNA polyadenylation (GO:0043631)	33	14	.93	+	15.10	1.65E-11	1.07E-09
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	126	23	3.54	+	6.50	1.79E-11	1.16E-09
negative regulation of transferase activity (GO:0051348)	374	39	10.50	+	3.71	1.86E-11	1.19E-09
nucleotide-excision repair (GO:0006289)	114	22	3.20	+	6.87	1.91E-11	1.22E-09
multi-organism transport (GO:0044766)	71	18	1.99	+	9.03	2.78E-11	1.77E-09
multi-organism localization (GO:1902579)	71	18	1.99	+	9.03	2.78E-11	1.77E-09
regulation of primary metabolic process (GO:0080090)	6053	247	170.01	+	1.45	2.89E-11	1.83E-09
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	93	20	2.61	+	7.66	2.90E-11	1.83E-09
antigen processing and presentation (GO:0019882)	214	29	6.01	+	4.82	2.97E-11	1.86E-09
regulation of cellular amide metabolic process (GO:0034248)	437	42	12.27	+	3.42	3.31E-11	2.07E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	296	34	8.31	+	4.09	3.58E-11	2.23E-09
regulation of protein catabolic process (GO:0042176)	407	40	11.43	+	3.50	5.33E-11	3.30E-09
Fc-epsilon receptor signaling pathway (GO:0038095)	135	23	3.79	+	6.07	6.11E-11	3.77E-09
RNA secondary structure unwinding (GO:0010501)	46	15	1.29	+	11.61	6.53E-11	4.02E-09
regulation of cellular protein catabolic process (GO:1903362)	287	33	8.06	+	4.09	6.83E-11	4.18E-09
mitotic nuclear division (GO:0140014)	136	23	3.82	+	6.02	6.96E-11	4.25E-09
positive regulation of metabolic process (GO:0009893)	3273	155	91.93	+	1.69	7.08E-11	4.30E-09
proteasomal protein catabolic process (GO:0010498)	322	35	9.04	+	3.87	7.35E-11	4.45E-09
spliceosomal snRNP assembly (GO:0000387)	38	14	1.07	+	13.12	7.53E-11	4.54E-09
cotranslational protein targeting to membrane (GO:0006613)	99	20	2.78	+	7.19	7.72E-11	4.63E-09
spliceosomal complex assembly (GO:0000245)	56	16	1.57	+	10.17	7.87E-11	4.70E-09
protein sumoylation (GO:0016925)	77	18	2.16	+	8.32	8.76E-11	5.22E-09
cellular response to oxygen levels (GO:0071453)	210	28	5.90	+	4.75	9.17E-11	5.44E-09
protein targeting to ER (GO:0045047)	102	20	2.86	+	6.98	1.23E-10	7.27E-09
telomere maintenance via semi-conservative replication (GO:0032201)	25	12	.70	+	17.09	1.54E-10	9.05E-09
positive regulation of nitrogen compound metabolic process (GO:0051173)	2940	142	82.57	+	1.72	1.64E-10	9.61E-09
7-methylguanosine mRNA capping (GO:0006370)	33	13	.93	+	14.03	1.84E-10	1.08E-08
cellular response to hypoxia (GO:0071456)	187	26	5.25	+	4.95	1.91E-10	1.11E-08
negative regulation of metabolic process (GO:0009892)	2787	136	78.28	+	1.74	2.15E-10	1.25E-08
positive regulation of proteolysis (GO:0045862)	391	38	10.98	+	3.46	2.20E-10	1.27E-08
regulation of DNA metabolic process (GO:0051052)	391	38	10.98	+	3.46	2.20E-10	1.27E-08
